
0.139,0.072,0.075,0.075,0.073,0.072,0.072,0.075,0.073,0.073,0.073,0.071,0.072,0.071,0.073,0.071,0.074,0.070,0.070,0.072,0.073,0.072,0.073,0.073,0.076,0.069,0.071,0.074,0.074,0.073
0.064,0.065,0.063,0.064,0.064,0.062,0.063,0.062,0.066,0.064,0.063,0.064,0.066,0.062,0.062,0.067,0.065,0.061,0.063,0.062,0.064,0.066,0.063,0.062,0.063,0.064,0.068,0.063,0.070,0.066
0.058,0.061,0.060,0.060,0.058,0.060,0.059,0.058,0.057,0.058,0.058,0.057,0.057,0.059,0.059,0.067,0.057,0.056,0.058,0.059,0.059,0.060,0.059,0.058,0.055,0.057,0.059,0.062,0.060,0.057
0.054,0.054,0.054,0.055,0.060,0.055,0.055,0.054,0.056,0.054,0.054,0.054,0.055,0.054,0.053,0.053,0.054,0.053,0.053,0.053,0.056,0.056,0.057,0.055,0.056,0.055,0.057,0.054,0.055,0.055
0.069,0.031,0.032,0.031,0.031,0.032,0.031,0.031,0.032,0.031,0.031,0.031,0.032,0.031,0.031,0.032,0.033,0.032,0.032,0.033,0.031,0.030,0.030,0.030,0.031,0.031,0.031,0.031,0.031,0.031

0.111,0.075,0.071,0.066,0.064,0.065,0.065,0.065,0.062,0.066,0.068,0.067,0.066,0.066,0.067,0.075,0.067,0.066,0.072,0.068,0.064,0.065,0.062,0.067,0.067,0.065,0.063,0.061,0.066,0.065
0.058,0.058,0.057,0.059,0.055,0.056,0.056,0.059,0.058,0.057,0.057,0.055,0.059,0.055,0.055,0.057,0.056,0.056,0.056,0.059,0.058,0.058,0.058,0.058,0.056,0.058,0.057,0.060,0.061,0.057
0.051,0.050,0.050,0.050,0.051,0.050,0.051,0.050,0.067,0.051,0.051,0.051,0.051,0.055,0.050,0.050,0.051,0.050,0.051,0.050,0.049,0.055,0.057,0.051,0.050,0.051,0.051,0.049,0.051,0.051
0.047,0.046,0.048,0.046,0.047,0.045,0.047,0.049,0.053,0.048,0.046,0.048,0.045,0.049,0.048,0.047,0.047,0.047,0.047,0.046,0.047,0.048,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.046
0.059,0.023,0.023,0.023,0.023,0.023,0.022,0.023,0.022,0.023,0.023,0.023,0.023,0.023,0.024,0.023,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.023,0.023,0.023,0.023,0.022

0.072,0.014,0.013,0.014,0.014,0.014,0.015,0.015,0.016,0.016,0.015,0.014,0.014,0.014,0.013,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.013,0.014,0.014,0.014
